Entry ID,Date,NGA,World Region
187,-800,Middle Yellow River Valley,East Asia
189,-1200,Galilee,Southwest Asia
189,-1100,Galilee,Southwest Asia
189,-1000,Galilee,Southwest Asia
189,-900,Galilee,Southwest Asia
189,-800,Galilee,Southwest Asia
189,-700,Galilee,Southwest Asia
189,-600,Galilee,Southwest Asia
189,-500,Galilee,Southwest Asia
189,-400,Galilee,Southwest Asia
189,-300,Galilee,Southwest Asia
189,-200,Galilee,Southwest Asia
189,-100,Galilee,Southwest Asia
189,-0,Galilee,Southwest Asia
190,1900,Crete,Europe
190,2000,Crete,Europe
191,1600,Middle Ganga,South Asia
191,1700,Middle Ganga,South Asia
192,1800,Iceland,Europe
193,2000,Iceland,Europe
195,500,Garo Hills,South Asia
195,600,Garo Hills,South Asia
195,700,Garo Hills,South Asia
195,800,Garo Hills,South Asia
195,900,Garo Hills,South Asia
195,1000,Garo Hills,South Asia
195,1100,Garo Hills,South Asia
196,0,Latium,Europe
197,1600,North Colombia,South America
197,1700,North Colombia,South America
197,1800,North Colombia,South America
197,1900,North Colombia,South America
198,-600,Upper Egypt,Africa
198,-500,Upper Egypt,Africa
198,-400,Upper Egypt,Africa
198,-300,Upper Egypt,Africa
199,100,Latium,Europe
199,100,Paris Basin,Europe
199,100,Crete,Europe
199,100,Upper Egypt,Africa
199,100,Galilee,Southwest Asia
199,100,Konya Plain,Southwest Asia
199,200,Latium,Europe
199,200,Paris Basin,Europe
199,200,Crete,Europe
199,200,Upper Egypt,Africa
199,200,Galilee,Southwest Asia
199,200,Konya Plain,Southwest Asia
199,300,Latium,Europe
199,300,Paris Basin,Europe
199,300,Crete,Europe
199,300,Upper Egypt,Africa
199,300,Galilee,Southwest Asia
199,300,Konya Plain,Southwest Asia
199,400,Latium,Europe
199,400,Paris Basin,Europe
199,400,Crete,Europe
199,400,Upper Egypt,Africa
199,400,Galilee,Southwest Asia
199,400,Konya Plain,Southwest Asia
200,1600,Garo Hills,South Asia
200,1700,Garo Hills,South Asia
200,1800,Garo Hills,South Asia
201,-500,Latium,Europe
201,-500,Galilee,Southwest Asia
201,-500,Konya Plain,Southwest Asia
201,-400,Latium,Europe
201,-400,Galilee,Southwest Asia
201,-400,Konya Plain,Southwest Asia
201,-300,Latium,Europe
201,-300,Galilee,Southwest Asia
201,-300,Konya Plain,Southwest Asia
201,-200,Latium,Europe
201,-200,Galilee,Southwest Asia
201,-200,Konya Plain,Southwest Asia
201,-100,Latium,Europe
201,-100,Galilee,Southwest Asia
201,-100,Konya Plain,Southwest Asia
201,-0,Latium,Europe
201,-0,Galilee,Southwest Asia
201,-0,Konya Plain,Southwest Asia
201,100,Latium,Europe
201,100,Galilee,Southwest Asia
201,100,Konya Plain,Southwest Asia
201,200,Latium,Europe
201,200,Galilee,Southwest Asia
201,200,Konya Plain,Southwest Asia
201,300,Latium,Europe
201,300,Galilee,Southwest Asia
201,300,Konya Plain,Southwest Asia
201,400,Latium,Europe
201,400,Galilee,Southwest Asia
201,400,Konya Plain,Southwest Asia
201,500,Latium,Europe
201,500,Galilee,Southwest Asia
201,500,Konya Plain,Southwest Asia
202,-1000,Middle Yellow River Valley,East Asia
202,-900,Middle Yellow River Valley,East Asia
202,-800,Middle Yellow River Valley,East Asia
202,-700,Middle Yellow River Valley,East Asia
203,-700,North Colombia,South America
203,-600,North Colombia,South America
203,-500,North Colombia,South America
203,-400,North Colombia,South America
203,-300,North Colombia,South America
203,-200,North Colombia,South America
204,-200,Middle Yellow River Valley,East Asia
204,-200,Southern China Hills,East Asia
204,-100,Middle Yellow River Valley,East Asia
204,-100,Southern China Hills,East Asia
204,-0,Middle Yellow River Valley,East Asia
204,-0,Southern China Hills,East Asia
204,100,Middle Yellow River Valley,East Asia
204,100,Southern China Hills,East Asia
204,200,Middle Yellow River Valley,East Asia
204,200,Southern China Hills,East Asia
209,-2000,Upper Egypt,Africa
209,-1900,Upper Egypt,Africa
209,-1800,Upper Egypt,Africa
209,-1700,Upper Egypt,Africa
209,-1600,Upper Egypt,Africa
209,-1500,Upper Egypt,Africa
209,-1400,Upper Egypt,Africa
209,-1300,Upper Egypt,Africa
209,-1200,Upper Egypt,Africa
209,-1100,Upper Egypt,Africa
209,-1000,Upper Egypt,Africa
209,-900,Upper Egypt,Africa
209,-800,Upper Egypt,Africa
209,-700,Upper Egypt,Africa
209,-600,Upper Egypt,Africa
209,-500,Upper Egypt,Africa
209,-400,Upper Egypt,Africa
209,-300,Upper Egypt,Africa
209,-200,Upper Egypt,Africa
209,-100,Upper Egypt,Africa
209,-0,Upper Egypt,Africa
210,0,Latium,Europe
210,0,Galilee,Southwest Asia
210,0,Konya Plain,Southwest Asia
210,100,Latium,Europe
210,100,Galilee,Southwest Asia
210,100,Konya Plain,Southwest Asia
211,-1300,North Colombia,South America
423,-500,Latium,Europe
423,-500,Galilee,Southwest Asia
423,-500,Konya Plain,Southwest Asia
423,-400,Latium,Europe
423,-400,Galilee,Southwest Asia
423,-400,Konya Plain,Southwest Asia
423,-300,Latium,Europe
423,-300,Galilee,Southwest Asia
423,-300,Konya Plain,Southwest Asia
423,-200,Latium,Europe
423,-200,Galilee,Southwest Asia
423,-200,Konya Plain,Southwest Asia
423,-100,Latium,Europe
423,-100,Galilee,Southwest Asia
423,-100,Konya Plain,Southwest Asia
423,-0,Latium,Europe
423,-0,Galilee,Southwest Asia
423,-0,Konya Plain,Southwest Asia
423,100,Latium,Europe
423,100,Galilee,Southwest Asia
423,100,Konya Plain,Southwest Asia
423,200,Latium,Europe
423,200,Galilee,Southwest Asia
423,200,Konya Plain,Southwest Asia
423,300,Latium,Europe
423,300,Galilee,Southwest Asia
423,300,Konya Plain,Southwest Asia
423,400,Latium,Europe
423,400,Galilee,Southwest Asia
423,400,Konya Plain,Southwest Asia
423,500,Latium,Europe
423,500,Galilee,Southwest Asia
423,500,Konya Plain,Southwest Asia
212,-400,Middle Yellow River Valley,East Asia
212,-300,Middle Yellow River Valley,East Asia
212,-200,Middle Yellow River Valley,East Asia
216,-3200,Southern Mesopotamia,Southwest Asia
216,-3100,Southern Mesopotamia,Southwest Asia
216,-3000,Southern Mesopotamia,Southwest Asia
216,-2900,Southern Mesopotamia,Southwest Asia
216,-2800,Southern Mesopotamia,Southwest Asia
216,-2700,Southern Mesopotamia,Southwest Asia
216,-2600,Southern Mesopotamia,Southwest Asia
216,-2500,Southern Mesopotamia,Southwest Asia
216,-2400,Southern Mesopotamia,Southwest Asia
216,-2300,Southern Mesopotamia,Southwest Asia
216,-2200,Southern Mesopotamia,Southwest Asia
216,-2100,Southern Mesopotamia,Southwest Asia
216,-2000,Southern Mesopotamia,Southwest Asia
216,-1900,Southern Mesopotamia,Southwest Asia
216,-1800,Southern Mesopotamia,Southwest Asia
216,-1700,Southern Mesopotamia,Southwest Asia
216,-1600,Southern Mesopotamia,Southwest Asia
216,-1500,Southern Mesopotamia,Southwest Asia
216,-1400,Southern Mesopotamia,Southwest Asia
216,-1300,Southern Mesopotamia,Southwest Asia
216,-1200,Southern Mesopotamia,Southwest Asia
216,-1100,Southern Mesopotamia,Southwest Asia
216,-1000,Southern Mesopotamia,Southwest Asia
216,-900,Southern Mesopotamia,Southwest Asia
216,-800,Southern Mesopotamia,Southwest Asia
216,-700,Southern Mesopotamia,Southwest Asia
216,-600,Southern Mesopotamia,Southwest Asia
222,600,Iceland,Europe
222,700,Iceland,Europe
222,800,Iceland,Europe
222,900,Iceland,Europe
227,1900,Kachi Plain,South Asia
227,2000,Kachi Plain,South Asia
228,1600,Kansai,East Asia
228,1700,Kansai,East Asia
228,1800,Kansai,East Asia
228,1900,Kansai,East Asia
230,-3300,Southern Mesopotamia,Southwest Asia
230,-3300,Susiana,Southwest Asia
230,-3200,Southern Mesopotamia,Southwest Asia
230,-3200,Susiana,Southwest Asia
230,-3100,Southern Mesopotamia,Southwest Asia
230,-3100,Susiana,Southwest Asia
230,-3000,Southern Mesopotamia,Southwest Asia
230,-3000,Susiana,Southwest Asia
230,-2900,Southern Mesopotamia,Southwest Asia
230,-2900,Susiana,Southwest Asia
230,-2800,Southern Mesopotamia,Southwest Asia
230,-2800,Susiana,Southwest Asia
230,-2700,Southern Mesopotamia,Southwest Asia
230,-2700,Susiana,Southwest Asia
230,-2600,Southern Mesopotamia,Southwest Asia
230,-2600,Susiana,Southwest Asia
230,-2500,Southern Mesopotamia,Southwest Asia
230,-2500,Susiana,Southwest Asia
230,-2400,Southern Mesopotamia,Southwest Asia
230,-2400,Susiana,Southwest Asia
230,-2300,Southern Mesopotamia,Southwest Asia
230,-2300,Susiana,Southwest Asia
230,-2200,Southern Mesopotamia,Southwest Asia
230,-2200,Susiana,Southwest Asia
230,-2100,Southern Mesopotamia,Southwest Asia
230,-2100,Susiana,Southwest Asia
230,-2000,Southern Mesopotamia,Southwest Asia
230,-2000,Susiana,Southwest Asia
230,-1900,Southern Mesopotamia,Southwest Asia
230,-1900,Susiana,Southwest Asia
230,-1800,Southern Mesopotamia,Southwest Asia
230,-1800,Susiana,Southwest Asia
230,-1700,Southern Mesopotamia,Southwest Asia
230,-1700,Susiana,Southwest Asia
230,-1600,Southern Mesopotamia,Southwest Asia
230,-1600,Susiana,Southwest Asia
230,-1500,Southern Mesopotamia,Southwest Asia
230,-1500,Susiana,Southwest Asia
230,-1400,Southern Mesopotamia,Southwest Asia
230,-1400,Susiana,Southwest Asia
230,-1300,Southern Mesopotamia,Southwest Asia
230,-1300,Susiana,Southwest Asia
230,-1200,Southern Mesopotamia,Southwest Asia
230,-1200,Susiana,Southwest Asia
230,-1100,Southern Mesopotamia,Southwest Asia
230,-1100,Susiana,Southwest Asia
230,-1000,Southern Mesopotamia,Southwest Asia
230,-1000,Susiana,Southwest Asia
230,-900,Southern Mesopotamia,Southwest Asia
230,-900,Susiana,Southwest Asia
230,-800,Southern Mesopotamia,Southwest Asia
230,-800,Susiana,Southwest Asia
230,-700,Southern Mesopotamia,Southwest Asia
230,-700,Susiana,Southwest Asia
230,-600,Southern Mesopotamia,Southwest Asia
230,-600,Susiana,Southwest Asia
230,-500,Southern Mesopotamia,Southwest Asia
230,-500,Susiana,Southwest Asia
231,-600,Latium,Europe
231,-500,Latium,Europe
231,-400,Latium,Europe
231,-300,Latium,Europe
231,-200,Latium,Europe
217,-200,Latium,Europe
217,-100,Latium,Europe
217,-0,Latium,Europe
237,-2900,Ghanaian Coast,Africa
237,-2800,Ghanaian Coast,Africa
237,-2700,Ghanaian Coast,Africa
237,-2600,Ghanaian Coast,Africa
237,-2500,Ghanaian Coast,Africa
237,-2400,Ghanaian Coast,Africa
237,-2300,Ghanaian Coast,Africa
237,-2200,Ghanaian Coast,Africa
237,-2100,Ghanaian Coast,Africa
237,-2000,Ghanaian Coast,Africa
237,-1900,Ghanaian Coast,Africa
237,-1800,Ghanaian Coast,Africa
237,-1700,Ghanaian Coast,Africa
237,-1600,Ghanaian Coast,Africa
237,-1500,Ghanaian Coast,Africa
237,-1400,Ghanaian Coast,Africa
237,-1300,Ghanaian Coast,Africa
237,-1200,Ghanaian Coast,Africa
237,-1100,Ghanaian Coast,Africa
237,-1000,Ghanaian Coast,Africa
237,-900,Ghanaian Coast,Africa
237,-800,Ghanaian Coast,Africa
237,-700,Ghanaian Coast,Africa
237,-600,Ghanaian Coast,Africa
237,-500,Ghanaian Coast,Africa
237,-400,Ghanaian Coast,Africa
237,-300,Ghanaian Coast,Africa
237,-200,Ghanaian Coast,Africa
237,-100,Ghanaian Coast,Africa
237,-0,Ghanaian Coast,Africa
238,-400,Ghanaian Coast,Africa
238,-300,Ghanaian Coast,Africa
238,-200,Ghanaian Coast,Africa
238,-100,Ghanaian Coast,Africa
238,-0,Ghanaian Coast,Africa
238,100,Ghanaian Coast,Africa
238,200,Ghanaian Coast,Africa
238,300,Ghanaian Coast,Africa
238,400,Ghanaian Coast,Africa
238,500,Ghanaian Coast,Africa
238,600,Ghanaian Coast,Africa
238,700,Ghanaian Coast,Africa
238,800,Ghanaian Coast,Africa
238,900,Ghanaian Coast,Africa
238,1000,Ghanaian Coast,Africa
238,1100,Ghanaian Coast,Africa
238,1200,Ghanaian Coast,Africa
238,1300,Ghanaian Coast,Africa
238,1400,Ghanaian Coast,Africa
239,-2000,Crete,Europe
239,-1900,Crete,Europe
239,-1800,Crete,Europe
239,-1700,Crete,Europe
239,-1600,Crete,Europe
239,-1500,Crete,Europe
239,-1400,Crete,Europe
239,-1300,Crete,Europe
239,-1200,Crete,Europe
239,-1100,Crete,Europe
239,-1000,Crete,Europe
240,700,Middle Yellow River Valley,East Asia
240,800,Middle Yellow River Valley,East Asia
240,900,Middle Yellow River Valley,East Asia
234,-3000,Yemeni Coastal Plain,Southwest Asia
234,-2900,Yemeni Coastal Plain,Southwest Asia
234,-2800,Yemeni Coastal Plain,Southwest Asia
234,-2700,Yemeni Coastal Plain,Southwest Asia
234,-2600,Yemeni Coastal Plain,Southwest Asia
234,-2500,Yemeni Coastal Plain,Southwest Asia
234,-2400,Yemeni Coastal Plain,Southwest Asia
234,-2300,Yemeni Coastal Plain,Southwest Asia
234,-2200,Yemeni Coastal Plain,Southwest Asia
234,-2100,Yemeni Coastal Plain,Southwest Asia
234,-2000,Yemeni Coastal Plain,Southwest Asia
234,-1900,Yemeni Coastal Plain,Southwest Asia
234,-1800,Yemeni Coastal Plain,Southwest Asia
234,-1700,Yemeni Coastal Plain,Southwest Asia
234,-1600,Yemeni Coastal Plain,Southwest Asia
234,-1500,Yemeni Coastal Plain,Southwest Asia
234,-1400,Yemeni Coastal Plain,Southwest Asia
234,-1300,Yemeni Coastal Plain,Southwest Asia
234,-1200,Yemeni Coastal Plain,Southwest Asia
234,-1100,Yemeni Coastal Plain,Southwest Asia
234,-1000,Yemeni Coastal Plain,Southwest Asia
234,-900,Yemeni Coastal Plain,Southwest Asia
234,-800,Yemeni Coastal Plain,Southwest Asia
234,-700,Yemeni Coastal Plain,Southwest Asia
234,-600,Yemeni Coastal Plain,Southwest Asia
234,-500,Yemeni Coastal Plain,Southwest Asia
234,-400,Yemeni Coastal Plain,Southwest Asia
234,-300,Yemeni Coastal Plain,Southwest Asia
234,-200,Yemeni Coastal Plain,Southwest Asia
234,-100,Yemeni Coastal Plain,Southwest Asia
234,-0,Yemeni Coastal Plain,Southwest Asia
234,100,Yemeni Coastal Plain,Southwest Asia
234,200,Yemeni Coastal Plain,Southwest Asia
234,300,Yemeni Coastal Plain,Southwest Asia
234,400,Yemeni Coastal Plain,Southwest Asia
234,500,Yemeni Coastal Plain,Southwest Asia
234,600,Yemeni Coastal Plain,Southwest Asia
234,700,Yemeni Coastal Plain,Southwest Asia
236,-1000,Yemeni Coastal Plain,Southwest Asia
236,-900,Yemeni Coastal Plain,Southwest Asia
236,-800,Yemeni Coastal Plain,Southwest Asia
236,-700,Yemeni Coastal Plain,Southwest Asia
236,-600,Yemeni Coastal Plain,Southwest Asia
236,-500,Yemeni Coastal Plain,Southwest Asia
236,-400,Yemeni Coastal Plain,Southwest Asia
236,-300,Yemeni Coastal Plain,Southwest Asia
236,-200,Yemeni Coastal Plain,Southwest Asia
236,-100,Yemeni Coastal Plain,Southwest Asia
236,-0,Yemeni Coastal Plain,Southwest Asia
236,100,Yemeni Coastal Plain,Southwest Asia
236,200,Yemeni Coastal Plain,Southwest Asia
236,300,Yemeni Coastal Plain,Southwest Asia
236,400,Yemeni Coastal Plain,Southwest Asia
236,500,Yemeni Coastal Plain,Southwest Asia
236,600,Yemeni Coastal Plain,Southwest Asia
236,700,Yemeni Coastal Plain,Southwest Asia
233,-3700,Upper Egypt,Africa
233,-3600,Upper Egypt,Africa
233,-3500,Upper Egypt,Africa
233,-3400,Upper Egypt,Africa
233,-3300,Upper Egypt,Africa
233,-3200,Upper Egypt,Africa
233,-3100,Upper Egypt,Africa
233,-3000,Upper Egypt,Africa
233,-2900,Upper Egypt,Africa
233,-2800,Upper Egypt,Africa
233,-2700,Upper Egypt,Africa
233,-2600,Upper Egypt,Africa
233,-2500,Upper Egypt,Africa
233,-2400,Upper Egypt,Africa
233,-2300,Upper Egypt,Africa
233,-2200,Upper Egypt,Africa
233,-2100,Upper Egypt,Africa
233,-2000,Upper Egypt,Africa
233,-1900,Upper Egypt,Africa
233,-1800,Upper Egypt,Africa
233,-1700,Upper Egypt,Africa
233,-1600,Upper Egypt,Africa
232,-5000,North Colombia,South America
232,-4900,North Colombia,South America
232,-4800,North Colombia,South America
232,-4700,North Colombia,South America
232,-4600,North Colombia,South America
232,-4500,North Colombia,South America
232,-4400,North Colombia,South America
232,-4300,North Colombia,South America
232,-4200,North Colombia,South America
232,-4100,North Colombia,South America
232,-4000,North Colombia,South America
232,-3900,North Colombia,South America
232,-3800,North Colombia,South America
232,-3700,North Colombia,South America
232,-3600,North Colombia,South America
232,-3500,North Colombia,South America
232,-3400,North Colombia,South America
232,-3300,North Colombia,South America
232,-3200,North Colombia,South America
232,-3100,North Colombia,South America
232,-3000,North Colombia,South America
244,1600,Kansai,East Asia
244,1700,Kansai,East Asia
245,-400,Middle Yellow River Valley,East Asia
245,-300,Middle Yellow River Valley,East Asia
245,-200,Middle Yellow River Valley,East Asia
246,-6000,Niger Inland Delta,Africa
246,-5900,Niger Inland Delta,Africa
246,-5800,Niger Inland Delta,Africa
246,-5700,Niger Inland Delta,Africa
246,-5600,Niger Inland Delta,Africa
246,-5500,Niger Inland Delta,Africa
246,-5400,Niger Inland Delta,Africa
246,-5300,Niger Inland Delta,Africa
246,-5200,Niger Inland Delta,Africa
246,-5100,Niger Inland Delta,Africa
246,-5000,Niger Inland Delta,Africa
246,-4900,Niger Inland Delta,Africa
246,-4800,Niger Inland Delta,Africa
246,-4700,Niger Inland Delta,Africa
246,-4600,Niger Inland Delta,Africa
246,-4500,Niger Inland Delta,Africa
246,-4400,Niger Inland Delta,Africa
246,-4300,Niger Inland Delta,Africa
246,-4200,Niger Inland Delta,Africa
246,-4100,Niger Inland Delta,Africa
246,-4000,Niger Inland Delta,Africa
246,-3900,Niger Inland Delta,Africa
246,-3800,Niger Inland Delta,Africa
246,-3700,Niger Inland Delta,Africa
246,-3600,Niger Inland Delta,Africa
246,-3500,Niger Inland Delta,Africa
246,-3400,Niger Inland Delta,Africa
246,-3300,Niger Inland Delta,Africa
246,-3200,Niger Inland Delta,Africa
246,-3100,Niger Inland Delta,Africa
246,-3000,Niger Inland Delta,Africa
246,-2900,Niger Inland Delta,Africa
246,-2800,Niger Inland Delta,Africa
246,-2700,Niger Inland Delta,Africa
246,-2600,Niger Inland Delta,Africa
246,-2500,Niger Inland Delta,Africa
246,-2400,Niger Inland Delta,Africa
246,-2300,Niger Inland Delta,Africa
246,-2200,Niger Inland Delta,Africa
246,-2100,Niger Inland Delta,Africa
246,-2000,Niger Inland Delta,Africa
246,-1900,Niger Inland Delta,Africa
246,-1800,Niger Inland Delta,Africa
246,-1700,Niger Inland Delta,Africa
246,-1600,Niger Inland Delta,Africa
246,-1500,Niger Inland Delta,Africa
246,-1400,Niger Inland Delta,Africa
246,-1300,Niger Inland Delta,Africa
246,-1200,Niger Inland Delta,Africa
246,-1100,Niger Inland Delta,Africa
246,-1000,Niger Inland Delta,Africa
247,-4000,Niger Inland Delta,Africa
247,-3900,Niger Inland Delta,Africa
247,-3800,Niger Inland Delta,Africa
247,-3700,Niger Inland Delta,Africa
247,-3600,Niger Inland Delta,Africa
247,-3500,Niger Inland Delta,Africa
247,-3400,Niger Inland Delta,Africa
247,-3300,Niger Inland Delta,Africa
247,-3200,Niger Inland Delta,Africa
247,-3100,Niger Inland Delta,Africa
247,-3000,Niger Inland Delta,Africa
247,-2900,Niger Inland Delta,Africa
247,-2800,Niger Inland Delta,Africa
247,-2700,Niger Inland Delta,Africa
247,-2600,Niger Inland Delta,Africa
247,-2500,Niger Inland Delta,Africa
247,-2400,Niger Inland Delta,Africa
247,-2300,Niger Inland Delta,Africa
247,-2200,Niger Inland Delta,Africa
247,-2100,Niger Inland Delta,Africa
247,-2000,Niger Inland Delta,Africa
247,-1900,Niger Inland Delta,Africa
247,-1800,Niger Inland Delta,Africa
247,-1700,Niger Inland Delta,Africa
247,-1600,Niger Inland Delta,Africa
247,-1500,Niger Inland Delta,Africa
247,-1400,Niger Inland Delta,Africa
247,-1300,Niger Inland Delta,Africa
247,-1200,Niger Inland Delta,Africa
247,-1100,Niger Inland Delta,Africa
247,-1000,Niger Inland Delta,Africa
249,1900,Orkhon Valley,Central Eurasia
249,2000,Orkhon Valley,Central Eurasia
250,900,North Colombia,South America
250,1000,North Colombia,South America
250,1100,North Colombia,South America
250,1200,North Colombia,South America
252,-8000,Ghanaian Coast,Africa
252,-7900,Ghanaian Coast,Africa
252,-7800,Ghanaian Coast,Africa
252,-7700,Ghanaian Coast,Africa
252,-7600,Ghanaian Coast,Africa
252,-7500,Ghanaian Coast,Africa
252,-7400,Ghanaian Coast,Africa
252,-7300,Ghanaian Coast,Africa
252,-7200,Ghanaian Coast,Africa
252,-7100,Ghanaian Coast,Africa
252,-7000,Ghanaian Coast,Africa
252,-6900,Ghanaian Coast,Africa
252,-6800,Ghanaian Coast,Africa
252,-6700,Ghanaian Coast,Africa
252,-6600,Ghanaian Coast,Africa
252,-6500,Ghanaian Coast,Africa
252,-6400,Ghanaian Coast,Africa
252,-6300,Ghanaian Coast,Africa
252,-6200,Ghanaian Coast,Africa
252,-6100,Ghanaian Coast,Africa
252,-6000,Ghanaian Coast,Africa
252,-5900,Ghanaian Coast,Africa
252,-5800,Ghanaian Coast,Africa
252,-5700,Ghanaian Coast,Africa
252,-5600,Ghanaian Coast,Africa
252,-5500,Ghanaian Coast,Africa
252,-5400,Ghanaian Coast,Africa
252,-5300,Ghanaian Coast,Africa
252,-5200,Ghanaian Coast,Africa
252,-5100,Ghanaian Coast,Africa
252,-5000,Ghanaian Coast,Africa
252,-4900,Ghanaian Coast,Africa
252,-4800,Ghanaian Coast,Africa
252,-4700,Ghanaian Coast,Africa
252,-4600,Ghanaian Coast,Africa
252,-4500,Ghanaian Coast,Africa
252,-4400,Ghanaian Coast,Africa
252,-4300,Ghanaian Coast,Africa
252,-4200,Ghanaian Coast,Africa
252,-4100,Ghanaian Coast,Africa
252,-4000,Ghanaian Coast,Africa
252,-3900,Ghanaian Coast,Africa
252,-3800,Ghanaian Coast,Africa
252,-3700,Ghanaian Coast,Africa
252,-3600,Ghanaian Coast,Africa
252,-3500,Ghanaian Coast,Africa
252,-3400,Ghanaian Coast,Africa
252,-3300,Ghanaian Coast,Africa
252,-3200,Ghanaian Coast,Africa
252,-3100,Ghanaian Coast,Africa
252,-3000,Ghanaian Coast,Africa
252,-2900,Ghanaian Coast,Africa
252,-2800,Ghanaian Coast,Africa
252,-2700,Ghanaian Coast,Africa
252,-2600,Ghanaian Coast,Africa
252,-2500,Ghanaian Coast,Africa
252,-2400,Ghanaian Coast,Africa
252,-2300,Ghanaian Coast,Africa
252,-2200,Ghanaian Coast,Africa
252,-2100,Ghanaian Coast,Africa
252,-2000,Ghanaian Coast,Africa
252,-1900,Ghanaian Coast,Africa
252,-1800,Ghanaian Coast,Africa
252,-1700,Ghanaian Coast,Africa
252,-1600,Ghanaian Coast,Africa
252,-1500,Ghanaian Coast,Africa
252,-1400,Ghanaian Coast,Africa
252,-1300,Ghanaian Coast,Africa
252,-1200,Ghanaian Coast,Africa
252,-1100,Ghanaian Coast,Africa
252,-1000,Ghanaian Coast,Africa
252,-900,Ghanaian Coast,Africa
252,-800,Ghanaian Coast,Africa
252,-700,Ghanaian Coast,Africa
252,-600,Ghanaian Coast,Africa
252,-500,Ghanaian Coast,Africa
252,-400,Ghanaian Coast,Africa
252,-300,Ghanaian Coast,Africa
252,-200,Ghanaian Coast,Africa
252,-100,Ghanaian Coast,Africa
252,-0,Ghanaian Coast,Africa
255,-200,Middle Yellow River Valley,East Asia
255,-100,Middle Yellow River Valley,East Asia
255,-0,Middle Yellow River Valley,East Asia
255,100,Middle Yellow River Valley,East Asia
255,200,Middle Yellow River Valley,East Asia
255,300,Middle Yellow River Valley,East Asia
255,400,Middle Yellow River Valley,East Asia
255,500,Middle Yellow River Valley,East Asia
256,-0,Latium,Europe
224,600,Paris Basin,Europe
224,700,Paris Basin,Europe
224,800,Paris Basin,Europe
224,900,Paris Basin,Europe
224,1000,Paris Basin,Europe
224,1100,Paris Basin,Europe
257,200,Valley of Oaxaca,North America
257,300,Valley of Oaxaca,North America
257,400,Valley of Oaxaca,North America
257,500,Valley of Oaxaca,North America
257,600,Valley of Oaxaca,North America
257,700,Valley of Oaxaca,North America
257,800,Valley of Oaxaca,North America
263,2000,Niger Inland Delta,Africa
284,-3500,Basin of Mexico,North America
284,-3400,Basin of Mexico,North America
284,-3300,Basin of Mexico,North America
284,-3200,Basin of Mexico,North America
284,-3100,Basin of Mexico,North America
284,-3000,Basin of Mexico,North America
284,-2900,Basin of Mexico,North America
284,-2800,Basin of Mexico,North America
284,-2700,Basin of Mexico,North America
284,-2600,Basin of Mexico,North America
284,-2500,Basin of Mexico,North America
284,-2400,Basin of Mexico,North America
284,-2300,Basin of Mexico,North America
284,-2200,Basin of Mexico,North America
284,-2100,Basin of Mexico,North America
284,-2000,Basin of Mexico,North America
284,-1900,Basin of Mexico,North America
284,-1800,Basin of Mexico,North America
284,-1700,Basin of Mexico,North America
284,-1600,Basin of Mexico,North America
284,-1500,Basin of Mexico,North America
284,-1400,Basin of Mexico,North America
284,-1300,Basin of Mexico,North America
284,-1200,Basin of Mexico,North America
284,-1100,Basin of Mexico,North America
284,-1000,Basin of Mexico,North America
284,-900,Basin of Mexico,North America
284,-800,Basin of Mexico,North America
284,-700,Basin of Mexico,North America
284,-600,Basin of Mexico,North America
